site_code;site_name;type_name;region_name;Chronology;data_valid_start;data_valid_end;weight;sampling_notes;extra_notes;short_ref;culture_type;x;y;Triticum aestivum/durum;Triticum dicoccum;Triticum monococcum;Avena sp;Hordeum vulgare;Panicum milliaceum;Secale cereale;Setaria italica;Sorghum bicolor;Cerealia ind;Leguminosae;Lens culinaris;Pisum sativum;Vicia faba;Vicia sativa;Vicia sp;Lathyrus cicera/sativus;Cicer aretinum;Cornus mas;Corylus avellana;Ficus carica;Fragaria vesca;Juglans regia;Castanea sativa;Malus domestica;Olea europaea L;Prunus cerasus;Prunus avium;Prunus sp;Prunus persica;Prunus domestica;Prunus spinosa;Rubus fruticosus;Pyrus communis;Sambucus nigra;Cucumis melo;Vitis vinifera;Linum usatissimus;Sorbus sp
82;Aquileia, ex essiccatoio nord, 1st c. BCE - 1st c. CE;Urban;Friuli-Venezia Giulia;R;-1;1;0.3333;A very in depth analysis containing a wide variety of plants. Also anthracological analysis available;"Other cereals (Triticum spelta, Triticum sp., etc.) have been classified in this row as ""Cerealia"". The abundance of dressed grain might indicate continuity with local traditions or it can derive from the disposal of working residuals from the area. Given the environmental conditions, the production of naked grains in Aquileia might have been unfavorable ";Maselli Scotti and Rottoli 2007;Roman;13.364957834639437;45.77542746143208;7;103;94;1;1;5;;;;289;22;;;;;1;;;;20;383;4;28;;;2;;;8;;;;8;;;;14;1;
84;Padova, Borgomagno;Necropolis;Veneto;R;-1;3;0.2000;variable quantity (from 0.25 to 4l);;Rottoli and Castiglioni 2011;Roman;11.877752898477562;45.41816769710538;;;;;;;;49;;;22;;;10;;;;;;;60;;1;;;;;;;;;;;;;;19;;
85;Padova, Banca Etica;Necropolis;Veneto;R;-1;3;0.2000;visual sampling 4l from one burial (out of 11);;Rottoli and Castiglioni 2011;Roman;11.879478683413282;45.41677742958558;;;;;;;;1;;;;;;;;;;;;;21;;;;;15;;;;2;12;;;;;;1;;
86;Verona, Porta Palio e Spianà;Necropolis;Veneto;R;-1;3;0.2000;variable quantity (from 1 to 10l) + visual sampling;;Rottoli and Castiglioni 2011;Roman;10.979868712960371;45.43571710297538;16;;;;;1;;4;;50;39;;;;2;;;;;;7;;;;;;;;1;;;;;;;;9;;
87;Nave;Necropolis;Lombardia;R;-1;3;0.2000;variable quantity (not specified) + visual sampling;secondary burials;Rottoli and Castiglioni 2011;Roman;10.286680846651896;45.585002902041424;22;;;;15;;;;;42;39;5;;36;;1;;;;19;3;;1;;1;12;;;;;1;;;1;;;5;;
88;Manerbio, Cascina Trebeschi;Necropolis;Lombardia;R;-1;3;0.2000;"variable quantity (3.4 to 6l ca.) + visual sampling; complete state of analysis (>0.5 mesh)";"5 busta + 10 secondary burials; cornus mas and pomegranade found";Rottoli and Castiglioni 2011;Roman;10.127552867925699;45.3455980250891;;;;;1;;;5;;46;2;;2;;;;;;;9;;1;56;;;;;;1;2;1;;;;;;10;;
89;Bergamo, via degli Orti;Necropolis;Lombardia;R;-1;3;0.2000;15l;secondary burial;Rottoli and Castiglioni 2011;Roman;9.654994889936845;45.70648740560144;;;;;;;;;;;1;;;;;;;;;5;;;2;;;1;;;1;;;;;;;;2;;
90;Mariano Comense, via T. Grossi;Necropolis;Lombardia;R;-1;3;0.2000;variable quantity (from 1 to 10l) + visual sampling;incomplete analysis (>2 mm);Rottoli and Castiglioni 2011;Roman;9.172840892472001;45.70331870545088;;;1;;;;;1;;1;;;;;;;;;;1;;;4;10;;;;;;2;;;;;;;;;
91;Como, via Benzi;Necropolis;Lombardia;R;-1;3;0.2000;variable quantity (from 0.5 to 18.5l) + visual sampling;"secondary burials; incomplete analysis (>4 mm)";Rottoli and Castiglioni 2011;Roman;9.079774205511432;45.80672803586052;;;;;1;;;;;;;;;2;;;;;;1;9;;8;;;1;;;;1;;;;;;;15;;
93;Albenga, via Pontelungo;Necropolis;Liguria;R;-1;3;0.2000;"1 bustum (17l + visual sampling); 2 secondary burials (18l and 25l + vs)";Worth noticing that many of these burials contain Phoenix d.;Rottoli and Castiglioni 2011;Roman;8.21321587814639;44.053293753072694;1;6;;;1;;;;;12;1;;;;;;;;;653;225;;1;;;;;;;;;;;;;;21;;
107;S. Giovanni di Ruoti, Phase 1;Rural site, villa;Basilicata;R;1;3;0.3333;Phase 1: This phase provided only 1 seed. The soil samples were contained in 0.3-litre bags, and they were considered too small for regular+flotation methods. Consequently, instead of being subjected to water separation, they were screened and sorted without prior treatment, so as to maximize the extraction of charred material. Soil was passed through a coarse 2- mm screen and examined for wood charcoal and large seeds. The material was then passed through a 300-micrometre mesh, so as to remove fine mineral dust and to concentrate the sam- ples+further. Only seeds were removed. An ST 300 dissection stereoscope facilitated sorting and identification.;Wood charcoal analysis available.;Monckton 2002;Roman;15.669902140170347;40.73911711017891;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;Brescia, Capitolium, Flavian age;Religious;Lombardia;R;1;1;1.0000;Flavian phase;"A series of samples, with charcoal and a few seeds, was collected from a group of short-lived wooden huts, probably shacks and workshops, used for various activities in the construction site of the late Republican temple1 (1st century BC; Castiglioni et al. 2014e); while a further two samples from the Flavian age building were analyzed; they contained a few seeds (SU 111, 592).";Castiglioni and Rottoli 2019;Roman;10.226541412798476;45.54030058057592;;;;;;;4;;;14;3;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;
112;Brescia, S. Giulia - Roman domus;Urban;Lombardia;R;1;5;0.2000;"1 Sample (Roman domus); Charcoal available";;Castiglioni and Rottoli 2019;Roman;10.228382817765326;45.54056461482653;3;;;;2;;;;;3;4;1;;;;;;;;;;;24;;;1;;;;;;;;;;;1;;
115;Boggiovara, pozzo romano;Rural;Emilia-Romagna;R;-2;1;0.2500;Sample (13) size: 3,8l. Flotation: Water-sieving with 10mm, 0.5mm, 0.2mm mesh;Very scarce;Rinaldi et al 2011;Roman;10.87307229891729;44.60800742093317;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
118;Modena, ex Cinema Capitol, Imperial domus phase;Urban;Emilia-Romagna;R;1;2;0.5000;"layer: 2 (=59), 26, cut 2; sample: 152 litres";This is a very in-detail analysis, inclusive of ruderal, wetland, ornamental, aromatic plants. These taxa have been omitted from this table, but can be retrieved online from the attachment to the publication. A rich Roman domus was discovered during construction works below ground level in the historical centre of the town. Archaeological deposits from the Roman age, lying on top of alluvial layers, were found at a depth of around 7e3 m. Several coins and a great quantity of ceramic items made it possible to attribute the layers of the domus to different chronological phases (Benassi and Guandalini, 2011). The domus was built over layers dating to the early phases of Romanisation in the Republican age (3rde2nd century BC), renovated in the early Imperial age (1ste2nd century AD), and then abandoned around the 2nd-3rd century AD.;Bosi et al 2015;Roman;10.928232455077998;44.64481839890194;1;1;;;2;;;;;2;;;;;;;;;;;44;;1;;;1;;;;;;;;;13;;2;;
118;Modena, ex Cinema Capitol, post-domus phase;Urban;Emilia-Romagna;R;2;3;0.5000;"layer: 39, 17, cut 1; sample: 33 litres";"This is a very in-detail analysis, inclusive of ruderal, wetland, ornamental, aromatic plants. These taxa have been omitted from this table, but can be retrieved online from the attachment to the publication; This is a very in-detail analysis, inclusive of ruderal, wetland, ornamental, aromatic plants. These taxa have been omitted from this table, but can be retrieved online from the attachment to the publication. A rich Roman domus was discovered during construction works below ground level in the historical centre of the town. Archaeological deposits from the Roman age, lying on top of alluvial layers, were found at a depth of around 7e3 m. Several coins and a great quantity of ceramic items made it possible to attribute the layers of the domus to different chronological phases (Benassi and Guandalini, 2011). The domus was built over layers dating to the early phases of Romanisation in the Republican age (3rde2nd century BC), renovated in the early Imperial age (1ste2nd century AD), and then abandoned around the 2nd-3rd century AD.";Bosi et al 2015;Roman;10.928232455077998;44.64481839890194;;1;1;;;;;;;;;;;;;;;;;;51;;;;;;;;;;;;;;1;;2;;
119;Modena, viale Amendola, settling tank;Urban;Emilia-Romagna;R;1;2;0.5000;"layers: 38, 33; sample: 3 and 8 litres (respectively)";"This is a very in-detail analysis, inclusive of ruderal, wetland, ornamental, aromatic plants. These taxa have been omitted from this table, but can be retrieved online from the attachment to the publication; Modern building works brought to light soil from the Roman age buried at c. 3.4 m from the surface, located about 2 km South-West of Mutina (Anghinetti et al., 2011). A drainage channel and an aqueduct with a settling tank, dating to the 1st century AD, were covered by an alluvial layer at 3.1 m. The layer was then colonised by a woodland, as shown by the presence of large trunks that had fallen, found near stumps. Oaks and elms were identified, and the trunks more than 122 years old were subjected to dendrochrono- logical analyses (see above). Two radiocarbon datings performed on one trunk gave a dating of 319e539 AD (87.1%) and 327e543 AD (92.9%). These data made it possible to establish that the youngest tree rings formed at c. 455e537 AD (Martinelli and Pignatelli,
2013).";Bosi et al 2015;Roman;10.907213064923846;44.63365857670945;;;;;;;;;;;;;;;;;;;;1;7;;2;;;;;1;;;;;17;1;15;;30;;
119;Modena, viale Amendola, channel acqueduct fill;Urban;Emilia-Romagna;R;1;2;0.5000;layer: 10, sample: 6 litres;"This is a very in-detail analysis, inclusive of ruderal, wetland, ornamental, aromatic plants. These taxa have been omitted from this table, but can be retrieved online from the attachment to the publication; Modern building works brought to light soil from the Roman age buried at c. 3.4 m from the surface, located about 2 km South-West of Mutina (Anghinetti et al., 2011). A drainage channel and an aqueduct with a settling tank, dating to the 1st century AD, were covered by an alluvial layer at 3.1 m. The layer was then colonised by a woodland, as shown by the presence of large trunks that had fallen, found near stumps. Oaks and elms were identified, and the trunks more than 122 years old were subjected to dendrochrono- logical analyses (see above). Two radiocarbon datings performed on one trunk gave a dating of 319e539 AD (87.1%) and 327e543 AD (92.9%). These data made it possible to establish that the youngest tree rings formed at c. 455e537 AD (Martinelli and Pignatelli,
2013).";Bosi et al 2015;Roman;10.907213064923846;44.63365857670945;;;;;;;;;;;;;;;;;;;;;2;2;3;;;;;;;;;;1;;;;11;;1
120;Modena, ex Manifattura Tabacchi, paleosol;Urban;Emilia-Romagna;R;1;2;0.5000;Layer 155, sample (litres): 13;"This is a very in-detail analysis, inclusive of ruderal, wetland, ornamental, aromatic plants. These taxa have been omitted from this table, but can be retrieved online from the attachment to the publication; The urban redevelopment plan included works below the ground level that shed light on a Roman paleosol buried at c. 5 m, about 400 m North-West of Mutina. One alluvial layer at c. 3.6 m covered the paleosol, and included archaeological findings, plant and wood remains. One piece of wood was dated to 340e550 AD (95.4%, 2s";Bosi et al 2015;Roman;10.929212410981;44.652549727570914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;32;;3;;
123;Calcinate, loc. Villa Passa, Tomb 1;Necropolis;Lombardia;R;1;1;1.0000;from Tomb 1 (US 124-129);;Castiglioni and Rottoli 2016a;Roman;9.79826672673438;45.62031310824095;1;4;;;6;;;;;6;2;1;;1;;;;;;;1;;;;;;;;;;;;;;;;;;
123;Calcinate, loc. Villa Passa, Tombs 3-4;Necropolis;Lombardia;R;1;2;0.5000;From tombs 3-4 (US 150 - 143) end of 1st c. - beginning of 2nd c. AD;;Castiglioni and Rottoli 2016a;Roman;9.79826672673438;45.62031310824095;2;;;1;;;;;;29;4;2;;32;;;;;;12;;;20;;;;;;;;;;;;;;;;
124;Calcinate, loc. Campo Musna (US 168);Rural site, villa;Lombardia;R;-1;6;0.1250;from US 168, a pit with (unrelated) remains of cattle + anthracological remains - Roman structures;;Castiglioni and Rottoli 2016b;Roman;9.803402572092853;45.61031712464418;1;;2;;;;;;;15;;;;;;;;;;;;;108;;;;;;;;;;;;;;10;;
130;San Lorenzo di Sebato, loc. Pichlweise;Necropolis;Trentino-Alto Adige/Südtirol;R;2;5;0.2500;visual sampling: data coming from inhumations and incinerations, but the data was so scarce that it has been put together by the author compiling this database row.;"This data has to be integrated with Castiglioni and Rottoli in the same volume.
An hypothesis to why this data is scarce is that when the bodies where moved from the pyre to their final destinations seeds where dispersed. ";Negri and Tecchiati 2018;Roman;11.905785018062886;46.78644859007541;;2;1;;4;1;;3;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;Modena, Cassa di Risparmio;Urban;Emilia-Romagna;R;1;1;1.0000;“ex Cassa di Risparmio”: first quarter 1st cent. AD;More taxa available;Bosi et al 2017;Roman;10.927570243724745;44.64497707978179;21;26;14;1;23;;2;;;43;;2;;2;;2;1;;494;142;8692;749;594;;5;865;8;264;5;118;9;218;250;11;51;5;5065;5229;7
159;Pompei, VI, 1, Vicolo di Narciso, 1st c. BCE;Urban;Campania;R;-1;-1;1.0000;"Pompei, VI, 1, Vicolo di Narciso, 1st c. BCE; Some attention has to be paid to the file ""Supplementary Data for Murphy, Thompson and Fuller “Roman food refuse: Urban Archaeobotany in Pompeii, Regio VI, insula 1”, freely available online and pasted here below:
 
Grape
In the present study grape pips are counted as one if they were relatively complete, i.e., if an oval shaped chazal scar or `shield ́ on the dorsal side and two halves of the symmetrical pip with the two narrow furrows on the ventral side with a central `bridge ́ were roughly intact. A separate category for preserved grape pit half fragments was constructed, which were divided by two, and fragments of grape pips, which were divided by four, for both carbonised and mineralised specimens. All carbonised category count of grape pip (i.e pip, half of pip and fragment of pip) were then summed for the 'correction' count. Similarly, all mineralised counts of grape pip (i.e pip, half of pip and fragment of pip) were summed for the 'correction' count.
Another separate category was created for charred grape pips embedded in mesocarp, which were counted as one whole grape. Grape petioles or the stems attaching the fruit to the vine were given a separate category.
Olive
It was decided that to avoid an over-representation of carbonised olive fragments due to their high preservation and recovery rates, a correction factor was needed to avoid skewing the results. Thus, the weight of three whole charred archaeological olive stones from the Insula was recorded and divided by three to obtain an Average Weight (0.157grams). To produce an estimate of the percentage of whole olive stones by weight, the weight of charred olive stone fragments from other deposits was divided by the Average Weight for an olive stone. The number of fragments of olive were recorded in the category 'fragment of endocarp', along with the weight in grams. Whole or complete olive stones were counted as one and olive stones split along suture lines were counted as half. The 'correction' category for olive endocarp was then calculated as the sum of the fraction of olive endocarp fragments (grams)/Avg Weight (grams), along with the sum of any whole olive endocarps (counted as one) and any half olive endocarps (counted as a half).
Fig
In this study the volume of fig mesocarp and fig achenes was measured, if present in large quantities, to avoid an overrepresentation of this taxon due to the abundance of mineralised fig achenes. A known volume of only mineralised fig achenes was counted and used to estimate other large volumes of this taxon.
Fruit
Due to the paucity of archaeobotanical fruit remains all recovered endocarp (stone) fragments or seeds were counted as one.
Nutshell
All nutshell fragments were recorded as fragments and counted whether diagnostic features were present or not. The category of `nuts (generic) ́ was created as many carbonised fragments of nutshells lack diagnostic features.
Cereals
Whole grains of cereals were counted as one and cereal fragments were grouped together to obtain an estimate of the number of entire grains. All chaff components, including glumes, and rachis fragments, were counted as one specimen, while spikelet forks were counted as a half. All fragments of Triticum were counted as one due to the small numbers recovered. This included the category Triticum sp. which could not be identified down to species.
Millets
All recovered millets were counted as one in this study.
Pulses
Small pulse seeds, whether whole or incomplete were also counted as one. Whole Vicia specimens were counted as one and individual cotyledons were counted as half. In addition, fractions of specimens of Vicia were also counted, including `greater than two thirds ́ and `less than one third ́ to obtain a more accurate estimate.";"When compiling this row, I decided to round the absolute counts to the nearest integer. This decision allows a simpler intercomparability with data from other sites.; Triticum sp. has been classified as ""Cerealia""";Murphy et al 2013;Roman;14.482150280709833;40.751569690620215;;1;;;1;;;;;1;;1;;0;;;;;;;22;;;;;3;;;;;;;;;;;4;;
159;Pompei, VI, 1, Vicolo di Narciso, 1st c. CE;Urban;Campania;R;1;1;1.0000;"Pompei, VI, 1, Vicolo di Narciso, 1st c. CE; Some attention has to be paid to the file ""Supplementary Data for Murphy, Thompson and Fuller “Roman food refuse: Urban Archaeobotany in Pompeii, Regio VI, insula 1”, freely available online and pasted here below:
 
Grape
In the present study grape pips are counted as one if they were relatively complete, i.e., if an oval shaped chazal scar or `shield ́ on the dorsal side and two halves of the symmetrical pip with the two narrow furrows on the ventral side with a central `bridge ́ were roughly intact. A separate category for preserved grape pit half fragments was constructed, which were divided by two, and fragments of grape pips, which were divided by four, for both carbonised and mineralised specimens. All carbonised category count of grape pip (i.e pip, half of pip and fragment of pip) were then summed for the 'correction' count. Similarly, all mineralised counts of grape pip (i.e pip, half of pip and fragment of pip) were summed for the 'correction' count.
Another separate category was created for charred grape pips embedded in mesocarp, which were counted as one whole grape. Grape petioles or the stems attaching the fruit to the vine were given a separate category.
Olive
It was decided that to avoid an over-representation of carbonised olive fragments due to their high preservation and recovery rates, a correction factor was needed to avoid skewing the results. Thus, the weight of three whole charred archaeological olive stones from the Insula was recorded and divided by three to obtain an Average Weight (0.157grams). To produce an estimate of the percentage of whole olive stones by weight, the weight of charred olive stone fragments from other deposits was divided by the Average Weight for an olive stone. The number of fragments of olive were recorded in the category 'fragment of endocarp', along with the weight in grams. Whole or complete olive stones were counted as one and olive stones split along suture lines were counted as half. The 'correction' category for olive endocarp was then calculated as the sum of the fraction of olive endocarp fragments (grams)/Avg Weight (grams), along with the sum of any whole olive endocarps (counted as one) and any half olive endocarps (counted as a half).
Fig
In this study the volume of fig mesocarp and fig achenes was measured, if present in large quantities, to avoid an overrepresentation of this taxon due to the abundance of mineralised fig achenes. A known volume of only mineralised fig achenes was counted and used to estimate other large volumes of this taxon.
Fruit
Due to the paucity of archaeobotanical fruit remains all recovered endocarp (stone) fragments or seeds were counted as one.
Nutshell
All nutshell fragments were recorded as fragments and counted whether diagnostic features were present or not. The category of `nuts (generic) ́ was created as many carbonised fragments of nutshells lack diagnostic features.
Cereals
Whole grains of cereals were counted as one and cereal fragments were grouped together to obtain an estimate of the number of entire grains. All chaff components, including glumes, and rachis fragments, were counted as one specimen, while spikelet forks were counted as a half. All fragments of Triticum were counted as one due to the small numbers recovered. This included the category Triticum sp. which could not be identified down to species.
Millets
All recovered millets were counted as one in this study.
Pulses
Small pulse seeds, whether whole or incomplete were also counted as one. Whole Vicia specimens were counted as one and individual cotyledons were counted as half. In addition, fractions of specimens of Vicia were also counted, including `greater than two thirds ́ and `less than one third ́ to obtain a more accurate estimate.";"When compiling this row, I decided to round the absolute counts to the nearest integer. This decision allows a simpler intercomparability with data from other sites. Triticum sp. has been classified as ""Cerealia""";Murphy et al 2013;Roman;14.482150280709833;40.751569690620215;1;;;;2;1;;;;2;;2;;;1;2;;;;2;48;;5;;1;6;;;;2;;;;;;1;141;;
160;Pompei, VI, 1, via Consolare, 1st c. BCE;Urban;Campania;R;-1;-1;1.0000;"Pompei, VI, 1, via Consolare, 1st c. BCE; Some attention has to be paid to the file ""Supplementary Data for Murphy, Thompson and Fuller “Roman food refuse: Urban Archaeobotany in Pompeii, Regio VI, insula 1”, freely available online and pasted here below:
 
Grape
In the present study grape pips are counted as one if they were relatively complete, i.e., if an oval shaped chazal scar or `shield ́ on the dorsal side and two halves of the symmetrical pip with the two narrow furrows on the ventral side with a central `bridge ́ were roughly intact. A separate category for preserved grape pit half fragments was constructed, which were divided by two, and fragments of grape pips, which were divided by four, for both carbonised and mineralised specimens. All carbonised category count of grape pip (i.e pip, half of pip and fragment of pip) were then summed for the 'correction' count. Similarly, all mineralised counts of grape pip (i.e pip, half of pip and fragment of pip) were summed for the 'correction' count.
Another separate category was created for charred grape pips embedded in mesocarp, which were counted as one whole grape. Grape petioles or the stems attaching the fruit to the vine were given a separate category.
Olive
It was decided that to avoid an over-representation of carbonised olive fragments due to their high preservation and recovery rates, a correction factor was needed to avoid skewing the results. Thus, the weight of three whole charred archaeological olive stones from the Insula was recorded and divided by three to obtain an Average Weight (0.157grams). To produce an estimate of the percentage of whole olive stones by weight, the weight of charred olive stone fragments from other deposits was divided by the Average Weight for an olive stone. The number of fragments of olive were recorded in the category 'fragment of endocarp', along with the weight in grams. Whole or complete olive stones were counted as one and olive stones split along suture lines were counted as half. The 'correction' category for olive endocarp was then calculated as the sum of the fraction of olive endocarp fragments (grams)/Avg Weight (grams), along with the sum of any whole olive endocarps (counted as one) and any half olive endocarps (counted as a half).
Fig
In this study the volume of fig mesocarp and fig achenes was measured, if present in large quantities, to avoid an overrepresentation of this taxon due to the abundance of mineralised fig achenes. A known volume of only mineralised fig achenes was counted and used to estimate other large volumes of this taxon.
Fruit
Due to the paucity of archaeobotanical fruit remains all recovered endocarp (stone) fragments or seeds were counted as one.
Nutshell
All nutshell fragments were recorded as fragments and counted whether diagnostic features were present or not. The category of `nuts (generic) ́ was created as many carbonised fragments of nutshells lack diagnostic features.
Cereals
Whole grains of cereals were counted as one and cereal fragments were grouped together to obtain an estimate of the number of entire grains. All chaff components, including glumes, and rachis fragments, were counted as one specimen, while spikelet forks were counted as a half. All fragments of Triticum were counted as one due to the small numbers recovered. This included the category Triticum sp. which could not be identified down to species.
Millets
All recovered millets were counted as one in this study.
Pulses
Small pulse seeds, whether whole or incomplete were also counted as one. Whole Vicia specimens were counted as one and individual cotyledons were counted as half. In addition, fractions of specimens of Vicia were also counted, including `greater than two thirds ́ and `less than one third ́ to obtain a more accurate estimate.";"When compiling this row, I decided to round the absolute counts to the nearest integer. This decision allows a simpler intercomparability with data from other sites.; Triticum sp. has been classified as ""Cerealia""";Murphy et al 2013;Roman;14.481919726317486;40.75143380748344;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
