ID;Site;Culture;Type;Chronology;Geo;weight;Region;Macroregion;From Century;To Century;Reference;X;Y;Pigs;Cattle;Caprine;Dom. Fowl;Edible W. Mammals;Fish;Mollusca;Unedible Dom. Mammals;Unedible Wild Mammals
12;Alba, Piazza Risorgimento;Medieval;Urban;Ma;Plain;0.5000;Piemonte;Northern Italy;11;12;Bedini 1999;8.035784515565826;44.70110336275226;113;107;91;13;1;4;;2;0
13;S. Michele di Trino, Phase III, 5th-7th c.;Early Medieval;Urban;LR;Plain;0.3333;Piemonte;Northern Italy;5;7;Ferro 1999;8.304962373728886;45.19673507552628;2;5;0;0;1;0;;0;0
13;S. Michele di Trino, Phase III, 5th-7th c.;Early Medieval;Urban;EMA;Plain;0.3333;Piemonte;Northern Italy;5;7;Ferro 1999;8.304962373728886;45.19673507552628;2;5;0;0;1;0;;0;0
13;S. Michele di Trino, Phase IV, 10th-11th c.;Medieval;Urban;EMA;Plain;0.5000;Piemonte;Northern Italy;10;11;Ferro 1999;8.304962373728886;45.19673507552628;358;36;122;3;152;134;;7;3
13;S. Michele di Trino, Phase IV, 10th-11th c.;Medieval;Urban;Ma;Plain;0.5000;Piemonte;Northern Italy;10;11;Ferro 1999;8.304962373728886;45.19673507552628;358;36;122;3;152;134;;7;3
14;Mombello Monferrato, 5th-6th c.;Goth;Rural;LR;Coast;0.5000;Piemonte;Northern Italy;5;6;Bedini 2007;8.252125647320707;45.13417262380114;37;52;10;0;0;0;;22;0
14;Mombello Monferrato, 5th-6th c.;Goth;Rural;EMA;Coast;0.5000;Piemonte;Northern Italy;5;6;Bedini 2007;8.252125647320707;45.13417262380114;37;52;10;0;0;0;;22;0
14;Mombello Monferrato, 6th-8th c.;Lombard;Rural;LR;Coast;0.3333;Piemonte;Northern Italy;6;8;Bedini 2007;8.252125647320707;45.13417262380114;287;195;149;34;30;1;;49;1
14;Mombello Monferrato, 6th-8th c.;Lombard;Rural;EMA;Coast;0.3333;Piemonte;Northern Italy;6;8;Bedini 2007;8.252125647320707;45.13417262380114;287;195;149;34;30;1;;49;1
15;Imola, villa Clelia, 6th c.;Early Medieval;Urban;EMA;Plain;1.0000;Emilia-Romagna;Northern Italy;6;6;Farello 1990;11.6969223863206;44.356656293915655;3;20;2;3;0;16;;0;0
15;Imola, villa Clelia, 10th-11th c.;Medieval;Urban;EMA;Plain;0.5000;Emilia-Romagna;Northern Italy;10;11;Farello 1990;11.6969223863206;44.356656293915655;56;47;37;8;3;0;;6;0
15;Imola, villa Clelia, 10th-11th c.;Medieval;Urban;Ma;Plain;0.5000;Emilia-Romagna;Northern Italy;10;11;Farello 1990;11.6969223863206;44.356656293915655;56;47;37;8;3;0;;6;0
17;Venezia, San Lorenzo di Ammiana;Early Medieval;Urban;EMA;Coast;0.5000;Veneto;Northern Italy;6;7;Gelichi and Moine 2012;12.461338529665417;45.50396766922869;12;1;8;0;17;3;2;2;0
18;S. Antonino di Perti;Byzantine;Castrum;EMA;Mountain;0.5000;Liguria;Northern Italy;6;7;Giovinazzo 2001;8.32153258912255;44.19479733303203;4821;552;2368;203;21;5;62;4;1
20;Luni, 3rd c.;Late Roman;Urban;LR;Coast;1.0000;Liguria;Northern Italy;3;3;Barker 1977;10.016095356375178;44.06450201566349;41;40;25;7;0;0;;1;0
20;Luni, 4th-6th c.;Late Roman;Urban;LR;Coast;0.3333;Liguria;Northern Italy;4;6;Barker 1977;10.016095356375178;44.06450201566349;28;24;22;2;1;0;;0;0
20;Luni, 4th-6th c.;Late Roman;Urban;EMA;Coast;0.3333;Liguria;Northern Italy;4;6;Barker 1977;10.016095356375178;44.06450201566349;28;24;22;2;1;0;;0;0
20;Luni, 5th-8th c.;Early Medieval;Urban;LR;Coast;0.2500;Liguria;Northern Italy;5;8;Barker 1977;10.016095356375178;44.06450201566349;59;38;44;0;0;0;;5;0
20;Luni, 5th-8th c.;Early Medieval;Urban;EMA;Coast;0.2500;Liguria;Northern Italy;5;8;Barker 1977;10.016095356375178;44.06450201566349;59;38;44;0;0;0;;5;0
20;Luni, 7th c.;Early Medieval;Urban;EMA;Coast;1.0000;Liguria;Northern Italy;7;7;Barker 1977;10.016095356375178;44.06450201566349;130;52;142;22;1;0;;0;0
20;Luni, 8th c.;Early Medieval;Urban;EMA;Coast;1.0000;Liguria;Northern Italy;8;8;Barker 1977;10.016095356375178;44.06450201566349;434;97;456;165;1;0;;3;0
20;Luni, 8th-13th c.;Medieval;Urban;EMA;Coast;0.1667;Liguria;Northern Italy;8;13;Barker 1977;10.016095356375178;44.06450201566349;85;50;101;12;0;0;;5;0
20;Luni, 8th-13th c.;Medieval;Urban;Ma;Coast;0.1667;Liguria;Northern Italy;8;13;Barker 1977;10.016095356375178;44.06450201566349;85;50;101;12;0;0;;5;0
20;Luni, 11th c.;Medieval;Urban;Ma;Coast;1.0000;Liguria;Northern Italy;11;11;Barker 1977;10.016095356375178;44.06450201566349;145;70;93;51;1;0;;2;0
20;Luni, 7th-11th c.;Early Medieval;Urban;EMA;Coast;0.1667;Liguria;Northern Italy;6;11;Barker 1977;10.016095356375178;44.06450201566349;101;85;106;11;0;0;;8;0
20;Luni, 7th-11th c.;Early Medieval;Urban;Ma;Coast;0.1667;Liguria;Northern Italy;6;11;Barker 1977;10.016095356375178;44.06450201566349;101;85;106;11;0;0;;8;0
21;Rocca di Asolo, 7th-11th c.;Medieval;Castrum;EMA;Mountain;0.2000;Veneto;Northern Italy;7;11;Bedini 1990;11.916563373711558;45.804641138172585;220;265;164;35;12;0;1;1;0
21;Rocca di Asolo, 7th-11th c.;Medieval;Castrum;Ma;Mountain;0.2000;Veneto;Northern Italy;7;11;Bedini 1990;11.916563373711558;45.804641138172585;220;265;164;35;12;0;1;1;0
21;Rocca di Asolo, 11th-13th c.;Medieval;Castrum;Ma;Mountain;0.3333;Veneto;Northern Italy;11;13;Bedini 2000;11.916563373711558;45.804641138172585;529;397;523;317;39;11;18;3;0
24;Nogara, via Olmo, 9th-10th c.;Medieval;Rural;EMA;Plain;0.5000;Veneto;Northern Italy;9;10;Baker 2011;11.050517258120253;45.181316956526004;20;14;10;0;2;1;;0;0
24;Nogara, via Olmo, 11th-13th c.;Medieval;Rural;Ma;Plain;0.3333;Veneto;Northern Italy;11;13;Baker 2011;11.050517258120253;45.181316956526004;491;368;279;0;128;23;;10;7
27;Cherasco, Castello di Manzano;Medieval;Castle;Ma;Hill;0.3333;Piemonte;Northern Italy;11;13;Bedini 1995;7.861849821504616;44.649921498164865;1057;168;363;169;130;0;;15;8
62;Monte San Martino, Lomaso;Early Medieval;Castrum;LR;Mountain;0.2500;Trentino-Alto Adige/Südtirol;Northern Italy;5;8;Salvadori 2020;10.87799000522834;45.99309158080133;1961;571;2981;738;186;5;;3;6
62;Monte San Martino, Lomaso;Early Medieval;Castrum;EMA;Mountain;0.2500;Trentino-Alto Adige/Südtirol;Northern Italy;5;8;Salvadori 2020;10.87799000522834;45.99309158080133;1961;571;2981;738;186;5;;3;6
105;Bologna, via d'Azeglio;Roman;Urban;R;Plain;0.2000;Emilia-Romagna;Northern Italy;-2;2;Rinaldi et al 2015;11.339668561489654;44.48877944364897;35;29;23;0;4;0;;0;0
112;Brescia, S. Giulia;Early Medieval;Religious, monastery;EMA;Plain;0.5000;Lombardia;Northern Italy;9;10;Panazza and Brogiolo 1988;10.228581058805755;45.539848090918376;205;256;1009;29;138;5;;63;1
114;Padova, Battistero del Duomo, Phase 1;Roman;Urban;R;Plain;0.2500;Veneto;Northern Italy;1;4;Moreno García 2017;11.871661253299301;45.40710376264457;22;;2;0;5;0;1;0;0
114;Padova, Battistero del Duomo, Phase 1;Roman;Urban;LR;Plain;0.2500;Veneto;Northern Italy;1;4;Moreno García 2017;11.871661253299301;45.40710376264457;22;;2;0;5;0;1;0;0
114;Padova, Battistero del Duomo, Phase 2;Goth;Urban;R;Plain;0.3333;Veneto;Northern Italy;4;6;Moreno García 2017;11.871661253299301;45.40710376264457;14;4;4;0;4;0;4;0;0
114;Padova, Battistero del Duomo, Phase 2;Goth;Urban;LR;Plain;0.3333;Veneto;Northern Italy;4;6;Moreno García 2017;11.871661253299301;45.40710376264457;14;4;4;0;4;0;4;0;0
114;Padova, Battistero del Duomo, Phase 3A;Lombard;Urban;EMA;Plain;0.5000;Veneto;Northern Italy;6;7;Moreno García 2017;11.871661253299301;45.40710376264457;209;80;140;139;160;0;93;2;0
114;Padova, Battistero del Duomo, Phase 3B;Lombard;Urban;EMA;Plain;0.5000;Veneto;Northern Italy;7;8;Moreno García 2017;11.871661253299301;45.40710376264457;153;22;81;128;131;0;105;5;0
114;Padova, Battistero del Duomo, Phase 3C;Early Medieval;Urban;EMA;Plain;0.3333;Veneto;Northern Italy;8;10;Moreno García 2017;11.871661253299301;45.40710376264457;93;14;19;66;106;0;105;0;0
114;Padova, Battistero del Duomo, Phase 4;Medieval;Urban;EMA;Plain;0.5000;Veneto;Northern Italy;10;11;Moreno García 2017;11.871661253299301;45.40710376264457;41;7;14;11;32;0;10;0;0
114;Padova, Battistero del Duomo, Phase 4;Medieval;Urban;Ma;Plain;0.5000;Veneto;Northern Italy;10;11;Moreno García 2017;11.871661253299301;45.40710376264457;41;7;14;11;32;0;10;0;0
114;Padova, Battistero del Duomo, Phase 5;Medieval;Urban;Ma;Plain;0.5000;Veneto;Northern Italy;11;12;Moreno García 2017;11.871661253299301;45.40710376264457;4;1;4;0;2;0;;1;0
115;Boggiovara, necropoli;Byzantine;Necropolis;EMA;Plain;0.5000;Emilia-Romagna;Northern Italy;6;7;Catagnano 2011;10.87307229891729;44.60800742093317;232;74;8;0;2;0;;34;0
128;Lamprecht;Lombard;Castrum;LR;Mountain;0.3333;Trentino-Alto Adige/Südtirol;Northern Italy;5;7;Tecchiati 2010;11.24452137547026;46.495138246740865;29;66;67;1;4;0;;1;0
128;Lamprecht;Lombard;Castrum;EMA;Mountain;0.3333;Trentino-Alto Adige/Südtirol;Northern Italy;5;7;Tecchiati 2010;11.24452137547026;46.495138246740865;29;66;67;1;4;0;;1;0
129;Toblburg;Medieval;Castle;EMA;Mountain;0.3333;Trentino-Alto Adige/Südtirol;Northern Italy;10;12;Tecchiati 2012;11.98968128414614;46.91866077420087;94;204;48;0;0;0;;0;0
129;Toblburg;Medieval;Castle;Ma;Mountain;0.3333;Trentino-Alto Adige/Südtirol;Northern Italy;10;12;Tecchiati 2012;11.98968128414614;46.91866077420087;94;204;48;0;0;0;;0;0
130;San Lorenzo di Sebato, loc. Pichlweise, Grave 52;Late Roman;Necropolis;LR;Mountain;1.0000;Trentino-Alto Adige/Südtirol;Northern Italy;4;4;Tecchiati 2018;11.905785018062886;46.78644859007541;26;1;256;217;5;0;;0;0
132;Castelrotto-Grondlboden;Lombard;Rural;EMA;Mountain;0.5000;Trentino-Alto Adige/Südtirol;Northern Italy;6;7;Salvagno and Tecchiati 2017;11.55986572124446;46.56785592279941;1;1;4;0;0;0;;0;0
133;Egna (mansio of Endidae);Roman;Rural site, mansio;R;Plain;0.3333;Trentino-Alto Adige/Südtirol;Northern Italy;1;3;Riedel and Tecchiati 2002;11.240795003670646;46.27450650567173;94;447;474;5;3;0;;0;0
133;Egna (mansio of Endidae);Roman;Rural site, mansio;LR;Plain;0.3333;Trentino-Alto Adige/Südtirol;Northern Italy;1;3;Riedel and Tecchiati 2002;11.240795003670646;46.27450650567173;94;447;474;5;3;0;;0;0
134;San Candido, Cantiere Böden;Roman;Rural;R;Mountain;1.0000;Trentino-Alto Adige/Südtirol;Northern Italy;1;1;Marconi 2006;12.287541123200938;46.73358747070309;10;162;121;4;3;0;;8;0
135;Elvas-Kreuzwiese p. f. 574, Phase RIA I;Roman;Rural;R;Mountain;0.3333;Trentino-Alto Adige/Südtirol;Northern Italy;-1;1;Boschin 2018;11.66556000820069;46.72029556066197;7;23;99;0;1;0;;1;0
135;Elvas-Kreuzwiese p. f. 574, Phase RIA II;Roman;Rural;R;Mountain;0.5000;Trentino-Alto Adige/Südtirol;Northern Italy;1;2;Boschin 2018;11.66556000820069;46.72029556066197;44;218;378;0;16;0;;5;0
135;Elvas-Kreuzwiese p. f. 574, Phase RIA III;Roman;Rural;R;Mountain;0.5000;Trentino-Alto Adige/Südtirol;Northern Italy;2;3;Boschin 2018;11.66556000820069;46.72029556066197;4;29;89;0;0;0;;5;1
135;Elvas-Kreuzwiese p. f. 574, Phase RIA III;Roman;Rural;LR;Mountain;0.5000;Trentino-Alto Adige/Südtirol;Northern Italy;2;3;Boschin 2018;11.66556000820069;46.72029556066197;4;29;89;0;0;0;;5;1
135;Elvas-Kreuzwiese p. f. 574, Late Antique Phase;Late Roman;Rural;LR;Mountain;0.5000;Trentino-Alto Adige/Südtirol;Northern Italy;4;5;Boschin 2018;11.66556000820069;46.72029556066197;13;51;100;0;1;0;;3;0
136;Monfalcone, villa di Via delle Mandrie;Roman;Rural site, villa;R;Plain;0.3333;Friuli-Venezia Giulia;Northern Italy;1;3;Ventura and Petrucci 2012;13.551252188787135;45.80224739068278;33;25;16;0;47;0;;3;0
136;Monfalcone, villa di Via delle Mandrie;Roman;Rural site, villa;LR;Plain;0.3333;Friuli-Venezia Giulia;Northern Italy;1;3;Ventura and Petrucci 2012;13.551252188787135;45.80224739068278;33;25;16;0;47;0;;3;0
137;Trieste, loc. Crosada, Phase 2A;Roman;Urban;R;Coast;0.3333;Friuli-Venezia Giulia;Northern Italy;-1;1;Petrucci 2007;13.768191954510733;45.64806534061193;20;15;13;0;9;1;84;2;2
138;Trieste, via Cavana, harbour;Late Roman;Urban;LR;Coast;0.3333;Friuli-Venezia Giulia;Northern Italy;3;5;Ventura et al 2012;13.766337138066694;45.64797611002013;11;12;45;1;1;0;263;10;0
82;Aquileia, ex essiccatoio nord, 2nd c. BCE - 5th c. CE;Roman;Urban;R;Coast;0.1250;Friuli-Venezia Giulia;Northern Italy;-2;5;Petrucci 2007b;13.364957834639437;45.77542746143208;189;345;79;0;0;0;;0;0
82;Aquileia, ex essiccatoio nord, 2nd c. BCE - 5th c. CE;Roman;Urban;LR;Coast;0.1250;Friuli-Venezia Giulia;Northern Italy;-2;5;Petrucci 2007b;13.364957834639437;45.77542746143208;189;345;79;0;0;0;;0;0
139;Raveo, Monte Sorantri ;Roman;Urban;R;Mountain;0.3333;Friuli-Venezia Giulia;Northern Italy;1;3;Petrucci et al 2005;12.870987554255702;46.437905776131736;12;9;553;0;0;0;;0;0
139;Raveo, Monte Sorantri ;Roman;Urban;LR;Mountain;0.3333;Friuli-Venezia Giulia;Northern Italy;1;3;Petrucci et al 2005;12.870987554255702;46.437905776131736;12;9;553;0;0;0;;0;0
140;Elleri, Monte Castellier, Area 2;Roman;Urban;R;Coast;0.2000;Friuli-Venezia Giulia;Northern Italy;1;5;Petrucci 2017;13.77861456664911;45.584979762680895;38;51;43;0;7;0;200;3;0
140;Elleri, Monte Castellier, Area 2;Roman;Urban;LR;Coast;0.2000;Friuli-Venezia Giulia;Northern Italy;1;5;Petrucci 2017;13.77861456664911;45.584979762680895;38;51;43;0;7;0;200;3;0
140;Elleri, Monte Castellier, Area 1;Roman;Urban;R;Coast;0.2000;Friuli-Venezia Giulia;Northern Italy;1;5;Petrucci 2017;13.77861456664911;45.584979762680895;118;131;276;0;17;0;123;0;1
140;Elleri, Monte Castellier, Area 1;Roman;Urban;LR;Coast;0.2000;Friuli-Venezia Giulia;Northern Italy;1;5;Petrucci 2017;13.77861456664911;45.584979762680895;118;131;276;0;17;0;123;0;1
143;Ronchi dei Legionari;Roman;Rural site, villa;R;Plain;0.2000;Friuli-Venezia Giulia;Northern Italy;-1;3;Petrucci 2008;13.49096937175246;45.831362453532;5;66;23;0;0;0;;0;0
143;Ronchi dei Legionari;Roman;Rural site, villa;LR;Plain;0.2000;Friuli-Venezia Giulia;Northern Italy;-1;3;Petrucci 2008;13.49096937175246;45.831362453532;5;66;23;0;0;0;;0;0
144;Oderzo;Roman;Urban;R;Plain;0.5000;Veneto;Northern Italy;1;2;Busana et al 2019;12.490722546633897;45.78468373008924;138;68;100;0;0;0;;0;0
145;Volano, Phase I;Late Roman;Rural;LR;Mountain;0.5000;Trentino-Alto Adige/Südtirol;Northern Italy;3;4;Riedel and Scarpa 1988;11.062103988125502;45.917801048996076;2;85;4;0;0;0;;13;0
145;Volano, Phase II;Late Roman;Rural;LR;Mountain;0.5000;Trentino-Alto Adige/Südtirol;Northern Italy;4;5;Riedel and Scarpa 1988;11.062103988125502;45.917801048996076;3;157;3;0;0;0;;10;0
146;Altino, Fornasotti;Roman;Urban;R;Coast;0.2000;Veneto;Northern Italy;1;5;Busana et al 2019;12.39795767688241;45.54187936001346;78;85;81;0;0;0;;0;0
146;Altino, Fornasotti;Roman;Urban;LR;Coast;0.2000;Veneto;Northern Italy;1;5;Busana et al 2019;12.39795767688241;45.54187936001346;78;85;81;0;0;0;;0;0
147;Ca'Tron, site A;Roman;Rural;R;Coast;0.3333;Veneto;Northern Italy;1;3;Busana et al 2012;12.41801722225747;45.58797089051524;9;127;18;0;0;0;28;0;0
147;Ca'Tron, site A;Roman;Rural;LR;Coast;0.3333;Veneto;Northern Italy;1;3;Busana et al 2012;12.41801722225747;45.58797089051524;9;127;18;0;0;0;28;0;0
148;Ca'Tron, site M;Roman;Rural;R;Coast;0.5000;Veneto;Northern Italy;1;2;Busana et al 2012;12.441965660254862;45.57846230984988;49;33;117;1;0;0;10;4;0
149;Rosà;Roman;Rural;R;Plain;0.1429;Veneto;Northern Italy;1;7;Alhaique and Cerilli 2004;11.752039036524975;45.700803411575905;12;88;78;41;13;0;;1;5
149;Rosà;Roman;Rural;LR;Plain;0.1429;Veneto;Northern Italy;1;7;Alhaique and Cerilli 2004;11.752039036524975;45.700803411575905;12;88;78;41;13;0;;1;5
149;Rosà;Roman;Rural;EMA;Plain;0.1429;Veneto;Northern Italy;1;7;Alhaique and Cerilli 2004;11.752039036524975;45.700803411575905;12;88;78;41;13;0;;1;5
150;Ficarolo, loc. Gaiba-Chiunsano;Roman;Rural site, villa;R;Plain;0.1250;Veneto;Northern Italy;-1;6;Sorrentino 2006;11.470470345742005;44.949410510663206;652;352;259;0;0;0;;0;0
150;Ficarolo, loc. Gaiba-Chiunsano;Roman;Rural site, villa;LR;Plain;0.1250;Veneto;Northern Italy;-1;6;Sorrentino 2006;11.470470345742005;44.949410510663206;652;352;259;0;0;0;;0;0
150;Ficarolo, loc. Gaiba-Chiunsano;Roman;Rural site, villa;EMA;Plain;0.1250;Veneto;Northern Italy;-1;6;Sorrentino 2006;11.470470345742005;44.949410510663206;652;352;259;0;0;0;;0;0
151;Isera;Roman;Rural site, villa;R;Plain;0.3333;Trentino-Alto Adige/Südtirol;Northern Italy;-1;1;Riedel and Tecchiati 2011;11.008744551539568;45.88727105696498;61;237;98;1;41;0;4;3;0
152;Bressanone, Stufles Senoner;Roman;Rural;R;Mountain;0.2000;Trentino-Alto Adige/Südtirol;Northern Italy;1;5;Riedel 1979;11.652234252328691;46.789172520731036;386;372;748;0;28;0;;0;0
152;Bressanone, Stufles Senoner;Roman;Rural;LR;Mountain;0.2000;Trentino-Alto Adige/Südtirol;Northern Italy;1;5;Riedel 1979;11.652234252328691;46.789172520731036;386;372;748;0;28;0;;0;0
153;Bressanone, Stufles Dominik;Roman;Rural;R;Mountain;0.2000;Trentino-Alto Adige/Südtirol;Northern Italy;1;5;Riedel 1979;11.661755026588926;46.7168444114004;290;327;511;0;8;0;;0;3
153;Bressanone, Stufles Dominik;Roman;Rural;LR;Mountain;0.2000;Trentino-Alto Adige/Südtirol;Northern Italy;1;5;Riedel 1979;11.661755026588926;46.7168444114004;290;327;511;0;8;0;;0;3
154;Modena, Cassa di Risparmio;Roman;Urban;R;Plain;0.5000;Emilia-Romagna;Northern Italy;1;2;Labate et al 1988;10.927570243724745;44.64497707978179;645;147;35;0;87;6;;15;0
154;Modena, Cassa di Risparmio;Roman;Urban;R;Plain;0.5000;Emilia-Romagna;Northern Italy;1;2;Labate et al 1988;10.927570243724745;44.64497707978179;645;147;35;0;87;6;;15;0
155;Spilamberto, 1st c. BCE - 6th c. CE;Roman;Rural;R;Plain;0.1250;Emilia-Romagna;Northern Italy;-1;6;Farello 1988;11.016253381881784;44.53249957326734;212;11;287;0;0;0;;0;0
155;Spilamberto, 1st c. BCE - 6th c. CE;Roman;Rural;LR;Plain;0.1250;Emilia-Romagna;Northern Italy;-1;6;Farello 1988;11.016253381881784;44.53249957326734;212;11;287;0;0;0;;0;0
155;Spilamberto, 1st c. BCE - 6th c. CE;Roman;Rural;EMA;Plain;0.1250;Emilia-Romagna;Northern Italy;-1;6;Farello 1988;11.016253381881784;44.53249957326734;212;11;287;0;0;0;;0;0
174;Villandro Plunackers, Phase BC;Late Roman;Rural;LR;Mountain;0.5000;Trentino-Alto Adige/Südtirol;Northern Italy;4;5;Dallago 2016;11.54094186851845;46.6317915697179;16;28;61;0;7;0;;2;0
174;Villandro Plunackers, Phase B;Early Medieval;Rural;LR;Mountain;0.5000;Trentino-Alto Adige/Südtirol;Northern Italy;5;6;Dallago 2016;11.54094186851845;46.6317915697179;332;348;445;23;45;0;;10;0
174;Villandro Plunackers, Phase B;Early Medieval;Rural;EMA;Mountain;0.5000;Trentino-Alto Adige/Südtirol;Northern Italy;5;6;Dallago 2016;11.54094186851845;46.6317915697179;332;348;445;23;45;0;;10;0
174;Villandro Plunackers, Phase A;Early Medieval;Rural;LR;Mountain;0.5000;Trentino-Alto Adige/Südtirol;Northern Italy;4;5;Dallago 2016;11.54094186851845;46.6317915697179;350;581;825;8;17;0;;56;3
175;Luni, Porta Marina domus, US 1135;Late Roman;Urban;LR;Coast;1.0000;Liguria;Northern Italy;5;5;Reynaert 2018;10.017156417680141;44.0630703931251;5;2;3;1;0;0;;0;0
175;Luni, Porta Marina domus, US 1194;Early Medieval;Urban;LR;Coast;0.5000;Liguria;Northern Italy;5;6;Reynaert 2018;10.017156417680141;44.0630703931251;3;;0;0;0;2;;0;0
175;Luni, Porta Marina domus, US 1194;Early Medieval;Urban;EMA;Coast;0.5000;Liguria;Northern Italy;5;6;Reynaert 2018;10.017156417680141;44.0630703931251;3;;0;0;0;2;;0;0
175;Luni, Porta Marina domus, US 1156;Early Medieval;Urban;LR;Coast;0.5000;Liguria;Northern Italy;5;6;Reynaert 2018;10.017156417680141;44.0630703931251;32;21;19;5;5;0;;1;0
175;Luni, Porta Marina domus, US 1156;Early Medieval;Urban;EMA;Coast;0.5000;Liguria;Northern Italy;5;6;Reynaert 2018;10.017156417680141;44.0630703931251;32;21;19;5;5;0;;1;0
175;Luni, Porta Marina domus, US 1124;Early Medieval;Urban;EMA;Coast;1.0000;Liguria;Northern Italy;6;6;Reynaert 2018;10.017156417680141;44.0630703931251;170;82;122;19;5;0;17;31;0
175;Luni, Porta Marina domus, US 1006;Early Medieval;Urban;EMA;Coast;0.5000;Liguria;Northern Italy;7;8;Reynaert 2018;10.017156417680141;44.0630703931251;161;50;79;28;16;2;5;3;0
178;Genova, S. Silvestro;Early Medieval;Religious;EMA;Coast;0.5000;Liguria;Northern Italy;9;10;Biasotti and Isetti 1981;8.929842568837612;44.4047852240026;39;;6;0;0;2;;3;0
191;Sondrio, via Quadrio;Medieval;Urban;Ma;Plain;0.2500;Lombardia;Northern Italy;11;14;Di Martino and Andreatta 2015;9.873043999370287;46.17176926743521;6;6;14;0;8;0;;4;0
28;Teglio, municipio;Late Roman;Urban;LR;Mountain;1.0000;Lombardia;Northern Italy;4;4;Di Martino and Andreatta 2015;10.066866872153222;46.17240998456696;15;4;37;0;0;0;;0;0
192;Teglio, Combolo, Phases V-VI;Roman;Urban;R;Mountain;0.1667;Lombardia;Northern Italy;1;6;Di Martino and Andreatta 2015;10.06732417238592;46.172234453803064;20;33;75;0;0;0;;1;0
192;Teglio, Combolo, Phases V-VI;Roman;Urban;LR;Mountain;0.1667;Lombardia;Northern Italy;1;6;Di Martino and Andreatta 2015;10.06732417238592;46.172234453803064;20;33;75;0;0;0;;1;0
192;Teglio, Combolo, Phases V-VI;Roman;Urban;EMA;Mountain;0.1667;Lombardia;Northern Italy;1;6;Di Martino and Andreatta 2015;10.06732417238592;46.172234453803064;20;33;75;0;0;0;;1;0
